,job_title,company_name,experience,when_posted,job_url
104,Senior Consultant - SOX & Internal Audit,Genpact India Pvt. Ltd.,4 to 6 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/senior-consultant-sox-internal-audit/genpact-india-pvt-ltd/11194489/
105,SM_Process_HMS,Genpact India Pvt. Ltd.,3 to 6 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/sm_process_hms/genpact-india-pvt-ltd/11194569/
106,Lead Consultant Data Engineer,Genpact India Pvt. Ltd.,6 to 8 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-data-engineer/genpact-india-pvt-ltd/11194855/
107,Lead Consultant Data Engineer,Genpact India Pvt. Ltd.,4 to 6 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-data-engineer/genpact-india-pvt-ltd/11195721/
108,Lead Consultant - Java/Struts/Full Stack/Trade Surveillance/Agile,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-javastrutsfull-stacktrade-surveillanceagile/genpact-india-pvt-ltd/11160971/
109,Lead Consultant - Perl/Financial Crime/Trade Surveillance/Agile,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-perlfinancial-crimetrade-surveillanceagile/genpact-india-pvt-ltd/11160975/
110,Principal Consultant Business Analysis/Project Management,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/principal-consultant-business-analysisproject-management/genpact-india-pvt-ltd/11160970/
111,Assistant Vice President - Pharma Labelling Specialist - Regulatory Affairs,Genpact India Pvt. Ltd.,10 to 14 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/assistant-vice-president-pharma-labelling-specialist-regulatory-affairs/genpact-india-pvt-ltd/11169509/
112,"Lead Consultant Scala, Spark, Java, Trading Data",Genpact India Pvt. Ltd.,2 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-scala-spark-java-trading-data/genpact-india-pvt-ltd/11160255/
113,Consultant Business Analyst,Genpact India Pvt. Ltd.,2 to 6 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/consultant-business-analyst/genpact-india-pvt-ltd/11160343/
114,Lead Consultant,Genpact India Pvt. Ltd.,3 to 10 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant/genpact-india-pvt-ltd/11160386/
115,Lead Consultant Scala/Spark/Hadoop/Agile/Trade Surveillance,Genpact India Pvt. Ltd.,4 to 6 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-scalasparkhadoopagiletrade-surveillance/genpact-india-pvt-ltd/11160667/
116,"Lead Consultant Scala, Spark, Java, Big Data/Hadoop/Trade Surveillance",Genpact India Pvt. Ltd.,5 to 7 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-scala-spark-java-big-datahadooptrade-surveillance/genpact-india-pvt-ltd/11160663/
117,Senior Associate - Regulatory Affairs,Genpact India Pvt. Ltd.,2 to 3 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/senior-associate-regulatory-affairs/genpact-india-pvt-ltd/11160720/
118,Lead Consultant Ledger BA,Genpact India Pvt. Ltd.,2 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-ledger-ba/genpact-india-pvt-ltd/11160873/
119,Assistant Manager - Labelling,Genpact India Pvt. Ltd.,1 to 4 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/assistant-manager-labelling/genpact-india-pvt-ltd/11160430/
120,Senior Associate - Regulatory Affair,Genpact India Pvt. Ltd.,4 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/senior-associate-regulatory-affair/genpact-india-pvt-ltd/11160436/
121,Assistant Manager - Regulatory affairs,Genpact India Pvt. Ltd.,2 to 4 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/assistant-manager-regulatory-affairs/genpact-india-pvt-ltd/11194912/
122,Manager - Regulatory affairs,Genpact India Pvt. Ltd.,3 to 6 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/manager-regulatory-affairs/genpact-india-pvt-ltd/11160434/
123,Business Analyst - Labelling,Genpact India Pvt. Ltd.,2 to 4 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/business-analyst-labelling/genpact-india-pvt-ltd/11160403/
124,Business Analyst - Publishing,Genpact India Pvt. Ltd.,1 to 4 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/business-analyst-publishing/genpact-india-pvt-ltd/11160608/
125,Senior Manager - Chemical Regulatory,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/senior-manager-chemical-regulatory/genpact-india-pvt-ltd/11161061/
126,Senior Associate - Regulatory Affair,Genpact India Pvt. Ltd.,8 to 10 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/senior-associate-regulatory-affair/genpact-india-pvt-ltd/11161131/
127,Business analyst - Regulatory Affairs,Genpact India Pvt. Ltd.,2 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/business-analyst-regulatory-affairs/genpact-india-pvt-ltd/11160623/
128,Business Analyst- Regulatory Expert,Genpact India Pvt. Ltd.,2 to 8 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/business-analyst-regulatory-expert/genpact-india-pvt-ltd/11160799/
